module,scope,algorithm,setting,metric,value,result_status
D5,random 5-fold tuning,maxnet,L | 3,or.10p.avg,0.0966325660699062,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 0.5,AICc,6450.12718352004,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1,AICc,6474.25985139237,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1.5,AICc,6503.66563915578,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2,AICc,6523.07798554504,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2.5,AICc,6544.36331202464,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 3,AICc,6564.72537897367,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 0.5,AICc,6624.39870046,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1,AICc,6624.62889099598,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1.5,AICc,6624.93829083271,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2,AICc,6625.34868785628,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2.5,AICc,6625.84680051249,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 3,AICc,6626.43040417346,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 0.5,delta.AICc,0,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1,delta.AICc,24.1326678723271,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1.5,delta.AICc,53.5384556357385,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2,delta.AICc,72.9508020249969,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2.5,delta.AICc,94.2361285045945,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 3,delta.AICc,114.598195453629,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 0.5,delta.AICc,174.271516939954,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1,delta.AICc,174.501707475943,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1.5,delta.AICc,174.811107312665,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2,delta.AICc,175.221504336236,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2.5,delta.AICc,175.719616992447,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 3,delta.AICc,176.303220653421,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 0.5,ncoef,12,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1,ncoef,12,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 1.5,ncoef,11,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2,ncoef,8,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 2.5,ncoef,8,reproduced_adapted
D5,random 5-fold tuning,maxnet,LQ | 3,ncoef,8,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 0.5,ncoef,6,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1,ncoef,6,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 1.5,ncoef,6,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2,ncoef,6,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 2.5,ncoef,6,reproduced_adapted
D5,random 5-fold tuning,maxnet,L | 3,ncoef,6,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,auc.train,0.721716862170088,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,auc.train,0.785069794721408,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,auc.train,0.721745014662757,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,auc.train,0.783180938416422,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,auc.train,0.72179706744868,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,auc.train,0.769295747800587,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 3,auc.train,0.721572727272727,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 3,auc.train,0.751063929618768,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 0.5,auc.train,0.721716862170088,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 0.5,auc.train,0.785069794721408,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 1,auc.train,0.721745014662757,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 1,auc.train,0.783180938416422,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 2,auc.train,0.72179706744868,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 2,auc.train,0.769295747800587,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 3,auc.train,0.721572727272727,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 3,auc.train,0.751063929618768,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 0.5,auc.train,0.72309780058651,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 0.5,auc.train,0.772696920821114,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 1,auc.train,0.723157331378299,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 1,auc.train,0.769132551319648,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 2,auc.train,0.72296715542522,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 2,auc.train,0.754703519061584,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 3,auc.train,0.722830791788856,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 3,auc.train,0.736850146627566,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,auc.val.avg,0.71757279198636,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,auc.val.avg,0.773932382779199,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,auc.val.avg,0.717731670929241,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 1,auc.val.avg,0.770960238704177,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 2,auc.val.avg,0.717744339300938,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 2,auc.val.avg,0.763137395566922,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 3,auc.val.avg,0.717595319693095,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 3,auc.val.avg,0.748108721227622,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 0.5,auc.val.avg,0.674767118440319,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 0.5,auc.val.avg,0.763937514447057,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 1,auc.val.avg,0.676313534443035,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 1,auc.val.avg,0.758735096923274,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 2,auc.val.avg,0.678643850832057,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 2,auc.val.avg,0.74128348611758,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | L | 3,auc.val.avg,0.680844346415421,reproduced_adapted
D6,partition and background sensitivity,maxnet,B: Block + Global BG | LQ | 3,auc.val.avg,0.719210075187382,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 0.5,auc.val.avg,0.665058780526445,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 0.5,auc.val.avg,0.752677815839766,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 1,auc.val.avg,0.667408763251339,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 1,auc.val.avg,0.747413173251218,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 2,auc.val.avg,0.67195556153041,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 2,auc.val.avg,0.72744180353667,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | L | 3,auc.val.avg,0.676694730209395,reproduced_adapted
D6,partition and background sensitivity,maxnet,C: Block + Buffered BG | LQ | 3,auc.val.avg,0.711215420957984,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 0.5,auc.diff.avg,0.0292665310313089,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | LQ | 0.5,auc.diff.avg,0.0362718799066449,reproduced_adapted
D6,partition and background sensitivity,maxnet,A: Random-kFold + Global BG | L | 1,auc.diff.avg,0.0295996426346458,reproduced_adapted
